Name,Number,Difficulty,Pattern,Status,Attempts,Time,Notes
Valid Palindrome,125,Easy,Two Pointers,To Solve,0,,
Two Sum II - Input Array Is Sorted,167,Easy,Two Pointers,To Solve,0,,
3Sum,15,Medium,Two Pointers,To Solve,0,,
Container With Most Water,11,Medium,Two Pointers,To Solve,0,,
Trapping Rain Water,42,Hard,Two Pointers,To Solve,0,,
Minimum Size Subarray Sum,209,Medium,Sliding Window,To Solve,0,,
Longest Substring Without Repeating Characters,3,Medium,Sliding Window,To Solve,0,,
Minimum Window Substring,76,Hard,Sliding Window,To Solve,0,,
Subarray Sum Equals K,560,Medium,Prefix Sum,To Solve,0,,
Product of Array Except Self,238,Medium,Arrays,To Solve,0,,
Find Pivot Index,724,Easy,Prefix Sum,To Solve,0,,
Group Anagrams,49,Medium,Hashing,To Solve,0,,
Top K Frequent Elements,347,Medium,Hashing Heap,To Solve,0,,
Missing Number,268,Easy,Cyclic Sort,To Solve,0,,
Valid Anagram,242,Easy,Hashing,To Solve,0,,
Contains Duplicate,217,Easy,Hashing,To Solve,0,,
Best Time to Buy and Sell Stock,121,Easy,Arrays,To Solve,0,,
Search in Rotated Array,33,Medium,Binary Search,To Solve,0,,
Find Minimum in Rotated Array,153,Medium,Binary Search,To Solve,0,,
Merge Sorted Array,88,Easy,Two Pointers,To Solve,0,,
Reverse Linked List,206,Easy,Linked List,To Solve,0,,
Merge Two Sorted Lists,21,Easy,Linked List,To Solve,0,,
Middle of Linked List,876,Easy,Linked List Fast Slow,To Solve,0,,
Linked List Cycle,141,Easy,Linked List Fast Slow,To Solve,0,,
Linked List Cycle II,142,Medium,Linked List Fast Slow,To Solve,0,,
Reorder List,143,Medium,Linked List Fast Slow,To Solve,0,,
Valid Parentheses,20,Easy,Stack,To Solve,0,,
Min Stack,155,Medium,Stack,To Solve,0,,
Daily Temperatures,739,Medium,Monotonic Stack,To Solve,0,,
Next Greater Element I,496,Easy,Monotonic Stack,To Solve,0,,
Binary Tree Inorder Traversal,94,Easy,Tree Traversal,To Solve,0,,
Binary Tree Preorder Traversal,144,Easy,Tree Traversal,To Solve,0,,
Binary Tree Postorder Traversal,145,Easy,Tree Traversal,To Solve,0,,
